Sample in Buffer,Sample in Window,TRIGGER,dbg_pc[14:0],dbg_rstn,dbg_uart_addr,dbg_uart_tx_pre,dbg_uart_tx_valid,trap_trigger,reg_dec_pc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
1940,1940,0,0080,1,0,1,0,0,00000078
1941,1941,0,0084,1,0,1,0,0,0000007c
1942,1942,0,0088,1,0,1,0,0,00000080
1943,1943,0,008c,1,0,1,0,0,00000084
1944,1944,0,0090,1,0,1,0,0,00000088
1945,1945,0,0090,1,0,1,0,0,00000088
1946,1946,0,0090,1,0,1,0,0,00000088
1947,1947,0,0094,1,0,1,0,0,0000008c
1948,1948,0,0094,1,0,1,0,0,0000008c
1949,1949,0,0098,1,0,1,0,0,00000090
1950,1950,0,009c,1,0,1,0,0,00000094
1951,1951,0,00a0,1,0,1,0,0,00000098
1952,1952,0,00a4,1,0,1,0,0,0000009c
1953,1953,0,00a8,1,0,1,0,0,000000a0
1954,1954,0,00ac,1,0,1,0,0,000000a4
1955,1955,0,00ac,1,0,1,0,0,000000a4
1956,1956,0,00ac,1,0,1,0,0,000000a4
1957,1957,0,00b0,1,0,1,0,0,000000a8
1958,1958,0,00b4,1,0,1,0,0,000000ac
1959,1959,0,0054,1,0,1,0,0,000000ac
1960,1960,0,0058,1,0,1,0,0,00000000
1961,1961,0,005c,1,0,1,0,0,00000054
1962,1962,0,0068,1,0,1,0,0,00000054
1963,1963,0,006c,1,0,1,0,0,00000000
1964,1964,0,0070,1,0,1,0,0,00000068
1965,1965,0,0070,1,0,1,0,0,00000068
1966,1966,0,0070,1,0,1,0,0,00000068
1967,1967,0,0074,1,0,1,0,0,0000006c
1968,1968,0,0078,1,0,1,0,0,00000070
1969,1969,0,007c,1,0,1,0,0,00000074
1970,1970,0,0080,1,0,1,0,0,00000078
1971,1971,0,0084,1,0,1,0,0,0000007c
1972,1972,0,0088,1,0,1,0,0,00000080
1973,1973,0,008c,1,0,1,0,0,00000084
1974,1974,0,0090,1,0,1,0,0,00000088
1975,1975,0,0090,1,0,1,0,0,00000088
1976,1976,0,0090,1,0,1,0,0,00000088
1977,1977,0,0094,1,0,1,0,0,0000008c
1978,1978,0,0094,1,0,1,0,0,0000008c
1979,1979,0,0098,1,0,1,0,0,00000090
1980,1980,0,009c,1,0,1,0,0,00000094
1981,1981,0,00a0,1,0,1,0,0,00000098
1982,1982,0,00a4,1,0,1,0,0,0000009c
1983,1983,0,00a8,1,0,1,0,0,000000a0
1984,1984,0,00ac,1,0,1,0,0,000000a4
1985,1985,0,00ac,1,0,1,0,0,000000a4
1986,1986,0,00ac,1,0,1,0,0,000000a4
1987,1987,0,00b0,1,0,1,0,0,000000a8
1988,1988,0,00b4,1,0,1,0,0,000000ac
1989,1989,0,0054,1,0,1,0,0,000000ac
1990,1990,0,0058,1,0,1,0,0,00000000
1991,1991,0,005c,1,0,1,0,0,00000054
1992,1992,0,0068,1,0,1,0,0,00000054
1993,1993,0,006c,1,0,1,0,0,00000000
1994,1994,0,0070,1,0,1,0,0,00000068
1995,1995,0,0070,1,0,1,0,0,00000068
1996,1996,0,0070,1,0,1,0,0,00000068
1997,1997,0,0074,1,0,1,0,0,0000006c
1998,1998,0,0078,1,0,1,0,0,00000070
1999,1999,0,007c,1,0,1,0,0,00000074
2000,2000,0,0080,1,0,1,0,0,00000078
2001,2001,0,0084,1,0,1,0,0,0000007c
2002,2002,0,0088,1,0,1,0,0,00000080
2003,2003,0,008c,1,0,1,0,0,00000084
2004,2004,0,0090,1,0,1,0,0,00000088
2005,2005,0,0090,1,0,1,0,0,00000088
2006,2006,0,0090,1,0,1,0,0,00000088
2007,2007,0,0094,1,0,1,0,0,0000008c
2008,2008,0,0094,1,0,1,0,0,0000008c
2009,2009,0,0098,1,0,1,0,0,00000090
2010,2010,0,009c,1,0,1,0,0,00000094
2011,2011,0,00a0,1,0,1,0,0,00000098
2012,2012,0,00a4,1,0,1,0,0,0000009c
2013,2013,0,00a8,1,0,1,0,0,000000a0
2014,2014,0,00ac,1,0,1,0,0,000000a4
2015,2015,0,00ac,1,0,1,0,0,000000a4
2016,2016,0,00ac,1,0,1,0,0,000000a4
2017,2017,0,00b0,1,0,1,0,0,000000a8
2018,2018,0,00b4,1,0,1,0,0,000000ac
2019,2019,0,0054,1,0,1,0,0,000000ac
2020,2020,0,0058,1,0,1,0,0,00000000
2021,2021,0,005c,1,0,1,0,0,00000054
2022,2022,0,0068,1,0,1,0,0,00000054
2023,2023,0,006c,1,0,1,0,0,00000000
2024,2024,0,0070,1,0,1,0,0,00000068
2025,2025,0,0070,1,0,1,0,0,00000068
2026,2026,0,0070,1,0,1,0,0,00000068
2027,2027,0,0074,1,0,1,0,0,0000006c
2028,2028,0,0078,1,0,1,0,0,00000070
2029,2029,0,007c,1,0,1,0,0,00000074
2030,2030,0,0080,1,0,1,0,0,00000078
2031,2031,0,0084,1,0,1,0,0,0000007c
2032,2032,0,0088,1,0,1,0,0,00000080
2033,2033,0,008c,1,0,1,0,0,00000084
2034,2034,0,0090,1,0,1,0,0,00000088
2035,2035,0,0090,1,0,1,0,0,00000088
2036,2036,0,0090,1,0,1,0,0,00000088
2037,2037,0,0094,1,0,1,0,0,0000008c
2038,2038,0,0094,1,0,1,0,0,0000008c
2039,2039,0,0098,1,0,1,0,0,00000090
2040,2040,0,009c,1,0,1,0,0,00000094
2041,2041,0,00a0,1,0,1,0,0,00000098
2042,2042,0,00a4,1,0,1,0,0,0000009c
2043,2043,0,00a8,1,0,1,0,0,000000a0
2044,2044,0,00ac,1,0,1,0,0,000000a4
2045,2045,0,00ac,1,0,1,0,0,000000a4
2046,2046,0,00ac,1,0,1,0,0,000000a4
2047,2047,0,00b0,1,0,1,0,0,000000a8
2048,2048,0,00b4,1,0,1,0,0,000000ac
2049,2049,0,0054,1,0,1,0,0,000000ac
2050,2050,0,0058,1,0,1,0,0,00000000
2051,2051,0,005c,1,0,1,0,0,00000054
2052,2052,0,0068,1,0,1,0,0,00000054
2053,2053,0,006c,1,0,1,0,0,00000000
2054,2054,0,0070,1,0,1,0,0,00000068
2055,2055,0,0070,1,0,1,0,0,00000068
2056,2056,0,0070,1,0,1,0,0,00000068
2057,2057,0,0074,1,0,1,0,0,0000006c
2058,2058,0,0078,1,0,1,0,0,00000070
2059,2059,0,007c,1,0,1,0,0,00000074
2060,2060,0,0080,1,0,1,0,0,00000078
2061,2061,0,0084,1,0,1,0,0,0000007c
2062,2062,0,0088,1,0,1,0,0,00000080
2063,2063,0,008c,1,0,1,0,0,00000084
2064,2064,0,0090,1,0,1,0,0,00000088
2065,2065,0,0090,1,0,1,0,0,00000088
2066,2066,0,0090,1,0,1,0,0,00000088
2067,2067,0,0094,1,0,1,0,0,0000008c
2068,2068,0,0094,1,0,1,0,0,0000008c
2069,2069,0,0098,1,0,1,0,0,00000090
2070,2070,0,009c,1,0,1,0,0,00000094
2071,2071,0,00a0,1,0,1,0,0,00000098
2072,2072,0,00a4,1,0,1,0,0,0000009c
2073,2073,0,00a8,1,0,1,0,0,000000a0
2074,2074,0,00ac,1,0,1,0,0,000000a4
2075,2075,0,00ac,1,0,1,0,0,000000a4
2076,2076,0,00ac,1,0,1,0,0,000000a4
2077,2077,0,00b0,1,0,1,0,0,000000a8
2078,2078,0,00b4,1,0,1,0,0,000000ac
2079,2079,0,0054,1,0,1,0,0,000000ac
2080,2080,0,0058,1,0,1,0,0,00000000
2081,2081,0,005c,1,0,1,0,0,00000054
2082,2082,0,0068,1,0,1,0,0,00000054
2083,2083,0,006c,1,0,1,0,0,00000000
2084,2084,0,0070,1,0,1,0,0,00000068
2085,2085,0,0070,1,0,1,0,0,00000068
2086,2086,0,0070,1,0,1,0,0,00000068
2087,2087,0,0074,1,0,1,0,0,0000006c
2088,2088,0,0078,1,0,1,0,0,00000070
2089,2089,0,007c,1,0,1,0,0,00000074
2090,2090,0,0080,1,0,1,0,0,00000078
2091,2091,0,0084,1,0,1,0,0,0000007c
2092,2092,0,0088,1,0,1,0,0,00000080
2093,2093,0,008c,1,0,1,0,0,00000084
2094,2094,0,0090,1,0,1,0,0,00000088
2095,2095,0,0090,1,0,1,0,0,00000088
2096,2096,0,0090,1,0,1,0,0,00000088
2097,2097,0,0094,1,0,1,0,0,0000008c
2098,2098,0,0094,1,0,1,0,0,0000008c
2099,2099,0,0098,1,0,1,0,0,00000090
2100,2100,0,009c,1,0,1,0,0,00000094
2101,2101,0,00a0,1,0,1,0,0,00000098
2102,2102,0,00a4,1,0,1,0,0,0000009c
2103,2103,0,00a8,1,0,1,0,0,000000a0
2104,2104,0,00ac,1,0,1,0,0,000000a4
2105,2105,0,00ac,1,0,1,0,0,000000a4
2106,2106,0,00ac,1,0,1,0,0,000000a4
2107,2107,0,00b0,1,0,1,0,0,000000a8
2108,2108,0,00b4,1,0,1,0,0,000000ac
2109,2109,0,0054,1,0,1,0,0,000000ac
2110,2110,0,0058,1,0,1,0,0,00000000
2111,2111,0,005c,1,0,1,0,0,00000054
2112,2112,0,0068,1,0,1,0,0,00000054
2113,2113,0,006c,1,0,1,0,0,00000000
2114,2114,0,0070,1,0,1,0,0,00000068
2115,2115,0,0070,1,0,1,0,0,00000068
2116,2116,0,0070,1,0,1,0,0,00000068
2117,2117,0,0074,1,0,1,0,0,0000006c
2118,2118,0,0078,1,0,1,0,0,00000070
2119,2119,0,007c,1,0,1,0,0,00000074
2120,2120,0,0080,1,0,1,0,0,00000078
2121,2121,0,0084,1,0,1,0,0,0000007c
2122,2122,0,0088,1,0,1,0,0,00000080
2123,2123,0,008c,1,0,1,0,0,00000084
2124,2124,0,0090,1,0,1,0,0,00000088
2125,2125,0,0090,1,0,1,0,0,00000088
2126,2126,0,0090,1,0,1,0,0,00000088
2127,2127,0,0094,1,0,1,0,0,0000008c
2128,2128,0,0094,1,0,1,0,0,0000008c
2129,2129,0,0098,1,0,1,0,0,00000090
2130,2130,0,009c,1,0,1,0,0,00000094
2131,2131,0,00a0,1,0,1,0,0,00000098
2132,2132,0,00a4,1,0,1,0,0,0000009c
2133,2133,0,00a8,1,0,1,0,0,000000a0
2134,2134,0,00ac,1,0,1,0,0,000000a4
2135,2135,0,00ac,1,0,1,0,0,000000a4
2136,2136,0,00ac,1,0,1,0,0,000000a4
2137,2137,0,00b0,1,0,1,0,0,000000a8
2138,2138,0,00b4,1,0,1,0,0,000000ac
2139,2139,0,0054,1,0,1,0,0,000000ac
