Sample in Buffer,Sample in Window,TRIGGER,dbg_pc[14:0],dbg_rstn,dbg_uart_addr,dbg_uart_tx_pre,dbg_uart_tx_valid,trap_trigger,reg_dec_pc[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
2322,2322,0,0068,1,0,1,0,0,00000054
2323,2323,0,006c,1,0,1,0,0,00000000
2324,2324,0,0070,1,0,1,0,0,00000068
2325,2325,0,0070,1,0,1,0,0,00000068
2326,2326,0,0070,1,0,1,0,0,00000068
2327,2327,0,0074,1,0,1,0,0,0000006c
2328,2328,0,0078,1,0,1,0,0,00000070
2329,2329,0,007c,1,0,1,0,0,00000074
2330,2330,0,0080,1,0,1,0,0,00000078
2331,2331,0,0084,1,0,1,0,0,0000007c
2332,2332,0,0088,1,0,1,0,0,00000080
2333,2333,0,008c,1,0,1,0,0,00000084
2334,2334,0,0090,1,0,1,0,0,00000088
2335,2335,0,0090,1,0,1,0,0,00000088
2336,2336,0,0090,1,0,1,0,0,00000088
2337,2337,0,0094,1,0,1,0,0,0000008c
2338,2338,0,0094,1,0,1,0,0,0000008c
2339,2339,0,0098,1,0,1,0,0,00000090
2340,2340,0,009c,1,0,1,0,0,00000094
2341,2341,0,00a0,1,0,1,0,0,00000098
2342,2342,0,00a4,1,0,1,0,0,0000009c
2343,2343,0,00a8,1,0,1,0,0,000000a0
